group_id: [144,156]

Description: C6 x SL(2,3)

   Subgroups      rho
  1              1
  C2             1
  C2             1
  C2             1
  C3             1
  C3             1
  C3             1
  C3             1
  C2 x C2        1
  C4             2
  C4             1
  C6             1
  C6             1
  C6             1
  C6             1
  C6             1
  C6             1
  C6             1
  C6             1
  C6             1
  C6             1
  C6             1
  C6             1
  C4 x C2        2
  Q8             1
  Q8             1
  C3 x C3        1
  C12            2
  C12            1
  C6 x C2        1
  C6 x C2        1
  C6 x C2        1
  C6 x C2        1
  C2 x Q8        1
  C6 x C3        1
  C6 x C3        1
  C6 x C3        1
  SL(2,3)        1
  C12 x C2       2
  SL(2,3)        1
  SL(2,3)        1
  C3 x Q8        1
  C3 x Q8        1
  C6 x C6        1
  C2 x SL(2,3)   1
  C2 x SL(2,3)   1
  C6 x Q8        1
  C2 x SL(2,3)   1
  C3 x SL(2,3)   1
  C6 x SL(2,3)   1
