group_id: [168,56]

Description: C2 x C2 x D21

   Subgroups       rho
  1               1
  C2              1
  C2              1
  C2              1
  C2              1
  C2              1
  C2              1
  C2              1
  C3              1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C6              1
  S3              1
  S3              1
  S3              1
  C6              1
  C6              1
  S3              1
  C7              1
  C2 x C2 x C2    1
  D6              1
  D6              1
  D6              1
  C6 x C2         1
  D6              1
  D6              1
  D6              1
  D7              1
  C14             1
  D7              1
  C14             1
  D7              1
  C14             1
  D7              1
  C21             1
  C2 x C2 x S3    1
  D14             1
  D14             1
  D14             1
  D14             1
  C14 x C2        1
  D14             1
  D14             1
  D21             1
  C42             1
  D21             1
  C42             1
  C42             1
  D21             1
  D21             1
  C2 x C2 x D7    1
  C42 x C2        1
  D42             1
  D42             1
  D42             1
  D42             1
  D42             1
  D42             1
  C2 x C2 x D21   1
