group_id: [120,27]

Description: C4 x D15

   Subgroups   rho
  1           1
  C2          1
  C2          1
  C2          1
  C3          1
  C4          1
  C4          1
  C2 x C2     1
  C5          1
  S3          1
  C6          1
  S3          1
  C4 x C2     1
  D5          1
  C10         1
  D5          1
  C3 : C4     1
  D6          1
  C12         1
  C15         1
  C5 : C4     1
  D10         1
  C20         1
  C4 x S3     1
  D15         1
  C30         1
  D15         1
  C4 x D5     1
  C60         1
  D30         1
  C15 : C4    1
  C4 x D15    1
