group_id: [128,64]

Description: Q16 : C8

   Subgroups   rho
  1           1
  C2          1
  C2          1
  C2          1
  C4          1
  C2 x C2     1
  C4          1
  C4          1
  C4          1
  C4          1
  C4          1
  C4          1
  C4          1
  C8          1
  C8          1
  C4 x C2     1
  C4 x C2     1
  C8          1
  C8          1
  Q8          1
  Q8          1
  Q8          1
  C4 x C2     1
  C4 x C2     1
  C4 x C2     1
  C16         1
  C8 x C2     1
  Q16         1
  C8 x C2     1
  C16         1
  Q16         1
  Q16         1
  C2 x Q8     1
  C4 : C4     1
  C4 x C4     1
  C4 x C4     1
  C4 : C4     1
  C8 x C2     1
  Q8 : C4     1
  C2 x Q16    1
  C4 x Q8     1
  C8 x C4     1
  C8 : C4     1
  C16 x C2    1
  C4 : C8     1
  C4 x Q16    1
  C16 x C4    1
  C8 : C8     1
  Q16 : C8    1
